generation,gender,treatment,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 2-26,0,0,36.874,216.895,173.077,201.33,230.174,246.095,226.201,215.142,232.238,246.223,226.361,234.462,217.101,221.223,204.396,204.593,223.283,218.526,218.452,232.432,263.772,243.862,257.814,218.453,217.193,236.454,254.531,247.084
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 2-42,255.851,314.901,379.261,301.007,306.443,250.787,230.936,251.724,267.882,240.766,250.619,294.058,330.869,409.033,322.041,353.523,236.236,261.939,251.24,321.244,258.014,327.905,299.992,293.621,240.073,316.261,324.825,220.45,260.687,368.484
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-13,238.99,239.542,226.82,190.366,213.076,202.893,215.626,196.971,177.262,188.139,225.196,213.887,198.913,203.179,238.513,218.519,232.332,169.243,202.358,195.44,183.106,204.957,168.722,158.291,207.433,198.695,196.421,197.507,187.837,201.825
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-29,0,0,0,0,0,0,83.015,203.948,170.428,226.97,218.273,230.686,271.323,239.281,225.777,220.308,233,221.762,247.618,189.166,185.259,190.261,221.447,191.333,146.074,159.396,192.999,170.039,260.882,131.714
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-45,584.115,547.305,553.351,551.156,496.504,445.068,377.688,328.41,362.917,305.044,384.832,427.351,383.749,441.404,426.39,453.282,389.524,408.624,430.433,441.041,370.628,397.403,412.738,342.186,400.783,444.545,432.799,442.986,334.883,370.226
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-49,304.271,301.042,314.507,313.086,322.919,455.33,71.837,68.453,69.713,64.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 5-53,251.543,305.393,247.193,277.644,291.884,348.54,277.626,274.559,275.346,247.492,306.117,345.616,233.756,244.645,241.948,309.076,266.497,228.238,255.852,254.096,252.141,284.035,236.419,245.496,281.129,237.733,239.629,216.994,235.761,226.002
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 6-14,425.826,377.645,435.507,428.568,281.87,296.346,284.426,16.849,4.206,4.02,118.809,273.876,325.493,220.474,274.527,4.796,165.83,305.756,167.02,317.335,312.397,339.348,7.781,189.254,234.937,230.061,278.431,253.042,278.516,304.057
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 6-30,336.805,298.591,271.256,352.019,313.274,375.714,305.828,345.987,283.963,250.113,371.872,285.659,240.307,260.018,265.49,355.895,469.156,342.561,261.054,298.263,364.349,306.547,303.351,311.387,385.805,292.842,284.027,319.436,357.71,439.557
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 6-46,283.016,323.197,333.969,355.286,328.148,300.942,266.667,233.111,226.619,281.948,260.413,240.582,210.015,266.639,229.435,229.555,202.075,214.976,222.812,198.861,236.029,292.019,293.802,266.133,225.345,232.384,298.693,328.284,278.009,279.183
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 6-50,282.966,223.477,198.176,240.796,258.704,272.089,230.601,244.058,249.903,204.949,272.993,198.2,239.727,196.034,211.892,248.708,212.124,250.062,205.619,210.997,225.061,319.757,299.256,263.92,231.493,339.182,253.986,256.418,261.646,216.292
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 6-54,0,0,0,0,185.087,259.008,126.981,5.638,210.041,219.255,219.447,242.848,329.637,308.198,295.715,152.16,204.904,171.018,205.703,186.958,236.573,220.427,145.532,183.732,189.426,234.679,214.699,238.211,229.615,233.586
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 9-1,0,0,0,0,0,0,0,0,57.421,207.969,167.693,9.756,9.214,11.268,13.218,12.454,13.551,11.833,11.221,10.602,9.898,21.03,8.198,7.209,6.984,7.516,163.754,48.653,7.448,7.473
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 9-17,395.777,391.353,395.907,432.876,390.112,374.246,548.278,653.284,586.421,520.379,661.128,608.531,602.215,627.644,633.603,558.745,501.455,382.309,363.873,363.713,366.757,379.143,375.023,436.762,441.15,437.172,517.151,575.81,551.471,528.071
GO000012-F2,F,AHR DMSO,AHR DMSO-F-Arena 9-33,327.829,332.932,321.648,308.418,280.089,284.929,287.475,275.059,317.123,287.754,287.677,305.369,331.622,297.137,289.028,303.643,301.842,309.852,289.187,270.043,300.832,307.126,317.63,304.777,289.19,283.877,313.715,288.042,276.219,296.039
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 11-19,671.861,591.801,587.409,651.882,469.76,398.227,375.897,373.583,403.908,503.421,549.84,555.224,544.176,545.072,559.96,285.453,412.488,401.642,435.476,294.679,342.09,316.443,316.325,360.625,375.371,389.872,515.914,602.573,407.66,329.227
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 11-3,375.369,374.369,473.898,479.116,494.942,338.904,338.054,366.067,329.171,339.655,411.95,520.423,451.479,410.223,396.466,411.329,377.067,369.08,382.111,444.41,430.808,435.214,421.781,398.279,366.971,390.542,404.806,407.332,396.799,379.875
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 11-35,344.211,434.083,475.051,339.039,342.445,330.089,369.29,311.369,409.057,391.782,467.732,341.651,438.982,415.02,476.003,391.563,372.101,348.401,445.348,363.91,347.714,403.246,371.506,361.664,353.618,367.151,322.16,415.373,401.363,392.57
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 12-20,0,0,0,0,0,0,204.385,379.016,407.643,352.215,440.38,444.501,316.407,367.952,452.632,348.109,447.225,432.067,410.445,344.149,279.326,387.483,432.179,397.934,393.021,393.104,373.786,410.386,341.8,520.944
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 12-36,289.321,335.33,276.166,228.085,269.735,279.035,320.788,276.839,207.109,269.151,293.044,225.409,265.894,196.003,247.552,288.731,256.788,253.246,253.711,244.377,212.197,275.628,224.467,254.462,193.33,242.887,227.633,185.153,18.604,25.546
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 12-4,406.485,366.001,381.534,299.376,365.358,387.941,360.033,531.239,510.609,449.646,438.114,394.04,374.252,424.816,379.209,408.22,367.348,374.491,439.398,372.881,364.866,466.226,478.088,453.462,461.139,472.689,511.803,485.005,527.757,468.947
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 15-23,530.094,448.331,418.962,414.656,357.218,311.375,283.878,355.111,448.773,412.883,348.405,335.225,333.321,334.482,303.733,505.42,419.864,508.021,408.011,557.046,445.696,426.366,576.119,481.022,366.677,433.787,516.207,344.027,525.706,337.054
GO000012-F2,M,AHR DMSO,AHR DMSO-M-Arena 15-39,407.126,424.22,402.997,359.292,350.232,380.226,337.545,287.47,280.124,333.216,326.23,342.02,215.035,275.978,312.913,311.164,280.296,357.376,352.192,424.208,486.776,340.477,278.474,298.152,364.585,368.585,326.287,319.771,365.163,309.23
