"SampleID"	"SampleIDExtra"	"Treatments"	"Generation"	"Sex"	"Morpholino"	"Exposure"	"FishNumber"	"Tissue"	"RunID"	"Length_mm"	"Weight_g"
"112"	"BaP_0078"	"BaP_0078"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	112	"Fecal"	"s116"	33	0.71
"113"	"BaP_0079"	"BaP_0079"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	113	"Fecal"	"s117"	36	1.16
"114"	"BaP_0080"	"BaP_0080"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	114	"Fecal"	"s118"	31	0.69
"115"	"BaP_0109"	"BaP_0109"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	115	"Fecal"	"s119"	36	0.97
"116"	"BaP_0110"	"BaP_0110"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	116	"Fecal"	"s120"	34	0.72
"117"	"BaP_0111"	"BaP_0111"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	117	"Fecal"	"s121"	36	0.86
"118"	"BaP_0112"	"BaP_0112"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	118	"Fecal"	"s122"	31	0.53
"119"	"BaP_0113"	"BaP_0113"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	119	"Fecal"	"s123"	34	0.75
"120"	"BaP_0114"	"BaP_0114"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	120	"Fecal"	"s124"	35	0.85
"121"	"BaP_0115"	"BaP_0115"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	121	"Fecal"	"s125"	33	0.75
"122"	"BaP_0116"	"BaP_0116"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	122	"Fecal"	"s126"	32	0.62
"123"	"BaP_0433"	"BaP_0433"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	123	"Fecal"	"s127"	34	0.83
"124"	"BaP_0434"	"BaP_0434"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	124	"Fecal"	"s128"	32	0.65
"125"	"BaP_0435"	"BaP_0435"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	125	"Fecal"	"s129"	31	0.74
"126"	"BaP_0436"	"BaP_0436"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	126	"Fecal"	"s130"	34	0.69
"127"	"BaP_0437"	"BaP_0437"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	127	"Fecal"	"s131"	29	0.7
"128"	"BaP_0438"	"BaP_0438"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	128	"Fecal"	"s132"	35	0.84
"129"	"BaP_0439"	"BaP_0439"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	129	"Fecal"	"s133"	34	0.9
"130"	"BaP_0440"	"BaP_0440"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	130	"Fecal"	"s134"	34	0.82
"131"	"BaP_0541"	"BaP_0541"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	131	"Fecal"	"s135"	29	0.63
"132"	"BaP_0542"	"BaP_0542"	"AHR2Mo_BaP"	"F0"	"M"	"AHR2Mo"	"BaP"	132	"Fecal"	"s136"	31	0.44
"133"	"BaP_0543"	"BaP_0543"	"AHR2Mo_BaP"	"F0"	"F"	"AHR2Mo"	"BaP"	133	"Fecal"	"s137"	39	1.29
